Name,Rating,Description,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits
TCS,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Mumbai +350 more,Job Security,Work Life Balance,76.4k,8.6L,7.4k,1k,11.6k
Accenture,4.0,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Dublin +182 more,Company Culture,Skill Development / Learning,48.3k,5.9L,5.2k,28.8k,7.2k
Cognizant,3.9,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Teaneck. New Jersey. +169 more,,,43.6k,5.6L,4.2k,482,5.9k
Wipro,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Bangalore/Bengaluru +278 more,,,41k,4.3L,4.2k,236,5.1k
Capgemini,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Paris +144 more,Job Security,Work Life Balance,35.5k,4.3L,3.4k,560,4.1k
HDFC Bank,4.0,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1561 more,Job Security,Skill Development / Learning,35.1k,1.3L,1.7k,141,3.3k
ICICI Bank,4.0,Banking | 1 Lakh+ Employees | Public | 30 years old | Mumbai +1296 more,Job Security,Skill Development / Learning,34.7k,1.4L,2k,49,3.8k
Infosys,3.8,IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Bengaluru/Bangalore +182 more,Job Security,Company Culture,33.3k,4.6L,5.6k,987,5.2k
HCLTech,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Noida +183 more,,,29.8k,3L,2.9k,211,4.1k
Tech Mahindra,3.7,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Pune +273 more,Promotions / Appraisal,Salary & Benefits,28.7k,2.5L,2.7k,810,3.6k
Genpact,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +112 more,Job Security,Skill Development / Learning,27.1k,1.9L,2.3k,554,3.7k
